JP Morgan,Apple,Amazon,Walmart,Target,Microsoft
105.43000030517578,147.58871459960938,110.62999725341797,125.79237365722656,142.60667419433594,251.6475067138672
110.26220703125,149.2786102294922,113.55000305175781,127.02255249023438,142.97711181640625,254.2622528076172
109.12981414794922,146.197021484375,113.76000213623047,126.72732543945312,145.59938049316406,251.81590270996094
111.8338851928711,150.10369873046875,118.20999908447266,127.50477600097656,149.4986572265625,257.0453796386719
111.81436920166016,152.13157653808594,122.7699966430664,128.56764221191406,152.55960083007812,259.7591247558594
112.5758056640625,154.42788696289062,124.62999725341797,130.4473419189453,154.6652069091797,262.30450439453125
112.02913665771484,153.17535400390625,122.41999816894531,130.1127471923828,153.76840209960938,257.8674011230469
112.47818756103516,152.0421142578125,121.13999938964844,129.92575073242188,153.52468872070312,256.35205078125
110.72101593017578,150.70013427734375,114.80999755859375,120.0450210571289,147.98770141601562,249.48837280273438
112.4977035522461,155.8593292236328,120.97000122070312,124.58187866210938,150.70745849609375,266.1671447753906
112.07794189453125,156.41600036621094,122.27999877929688,127.6917495727539,155.4060821533203,273.7637634277344
112.61485290527344,161.54537963867188,134.9499969482422,129.9552764892578,159.2664031982422,278.0522766113281
111.49222564697266,160.5513153076172,135.38999938964844,130.4375,161.38174438476562,275.34844970703125
109.75457763671875,159.06019592285156,134.16000366210938,130.57528686523438,159.36387634277344,272.18896484375
110.906494140625,165.14390563964844,139.52000427246094,128.42987060546875,163.6920623779297,279.76568603515625
109.68624114990234,164.82577514648438,142.57000732421875,123.57806396484375,162.36630249023438,280.9344177246094
113.00534057617188,164.5968475341797,140.8000030517578,124.57205200195312,161.9471435546875,280.2015075683594
111.6288833618164,164.1190185546875,139.41000366210938,125.58570861816406,162.7659912109375,277.63629150390625
112.6343765258789,164.16879272460938,137.8300018310547,126.82571411132812,160.96255493164062,279.59735107421875
115.57275390625,168.46913146972656,142.69000244140625,127.0914535522461,165.3979949951172,286.39166259765625
117.28111267089844,167.7225341796875,140.63999938964844,128.3170928955078,165.3297882080078,284.27215576171875
119.22374725341797,171.3160858154297,143.5500030517578,130.68930053710938,168.1372528076172,289.1153564453125
119.5458984375,172.401123046875,143.17999267578125,131.06491088867188,169.0243377685547,290.6604309082031
120.68805694580078,172.2418670654297,144.77999877929688,137.7565155029297,176.7541046142578,289.9076843261719
119.67280578613281,173.7549285888672,142.10000610351562,137.90480041503906,171.99658203125,289.1434326171875
118.74541473388672,173.3567352294922,142.3000030517578,137.4600067138672,169.750244140625,288.00201416015625
115.80703735351562,170.7387237548828,138.22999572753906,135.43373107910156,163.85484313964844,284.0120544433594
113.8936767578125,166.8067169189453,133.22000122070312,133.0120849609375,158.87171936035156,275.6748352050781
112.77104187011719,166.46826171875,133.6199951171875,132.4486846923828,158.8815155029297,274.3746032714844
113.04438781738281,166.76690673828125,133.8000030517578,133.40745544433594,160.01939392089844,273.7294616699219
115.72895050048828,169.25550842285156,137.27999877929688,134.29702758789062,164.3060760498047,276.7666320800781
111.94126892089844,162.87472534179688,130.75,130.07647705078125,157.5572509765625,266.0870056152344
111.66793823242188,160.64491271972656,129.7899932861328,131.34165954589844,155.6640625,263.2483825683594
111.68746948242188,158.18617248535156,128.72999572753906,130.9462890625,157.71421813964844,261.0052490234375
111.02365112304688,156.5038604736328,126.7699966430664,131.01547241210938,157.2825927734375,259.5164794921875
111.78507995605469,157.24049377441406,127.81999969482422,132.92312622070312,161.69679260253906,258.4544372558594
111.00411987304688,155.10028076171875,127.51000213623047,131.46026611328125,161.46136474609375,254.14686584472656
111.03340148925781,153.8261260986328,126.11000061035156,130.8079071044922,160.4608154296875,251.3578643798828
113.14201354980469,155.24961853027344,129.47999572753906,134.16854858398438,167.53330993652344,256.1617126464844
115.77775573730469,153.75643920898438,129.82000732421875,134.8505401611328,168.62216186523438,256.5884704589844
116.33419036865234,156.65318298339844,133.27000427246094,135.2558135986328,170.3387908935547,262.484130859375
117.71063995361328,162.68557739257812,136.4499969482422,136.47158813476562,170.53497314453125,264.6577453613281
113.6203384399414,153.13925170898438,126.81999969482422,133.65457153320312,163.07009887695312,250.10728454589844
113.35677337646484,154.60255432128906,128.5500030517578,133.3580322265625,162.22650146484375,250.33555603027344
115.06512451171875,151.67596435546875,126.27999877929688,131.92481994628906,161.86354064941406,243.5466766357422
114.29393005371094,150.01356506347656,123.52999877929688,131.64805603027344,160.96109008789062,242.9114532470703
115.34822845458984,153.77633666992188,124.66000366210938,132.77487182617188,161.61830139160156,242.69309997558594
113.07366943359375,156.18531799316406,122.19000244140625,132.00390625,156.97850036621094,240.63856506347656
109.81314849853516,153.01980590820312,118.54000091552734,133.20977783203125,155.99757385253906,237.1647186279297
108.56360626220703,152.04428100585938,117.30999755859375,131.84576416015625,150.0433349609375,239.17953491210938
106.5428695678711,149.7447967529297,113.77999877929688,128.55429077148438,149.6999969482422,236.1424102783203
104.24879455566406,150.083251953125,115.1500015258789,129.7898406982422,145.87437438964844,235.67591857910156
103.33116149902344,151.06874084472656,114.41000366210938,129.43397521972656,145.63894653320312,234.64369201660156
105.42024230957031,149.157470703125,118.01000213623047,131.56900024414062,152.8978271484375,239.2688751220703
103.6337890625,141.83099365234375,114.80000305175781,130.7189483642578,148.89561462402344,235.7255401611328
102.0132827758789,137.5704803466797,113.0,128.19847106933594,145.56045532226562,231.15989685058594
105.16642761230469,141.8011474609375,115.87999725341797,130.99571228027344,148.89561462402344,238.94134521484375
110.08648681640625,145.4345245361328,121.08999633789062,132.69580078125,153.96705627441406,247.02053833007812
108.72727966308594,145.73313903808594,120.94999694824219,131.3811798095703,153.4275360107422,247.33811950683594
106.51116180419922,144.76756286621094,120.30000305175781,130.15553283691406,152.78012084960938,244.94613647460938
104.38370513916016,139.45188903808594,114.55999755859375,127.07167053222656,149.4351348876953,232.48989868164062
103.40860748291016,139.7803955078125,113.66999816894531,127.82286834716797,150.1806640625,227.5371856689453
100.42424774169922,138.34693908691406,112.20999908447266,131.1340789794922,151.553955078125,223.7258758544922
102.04940032958984,137.70985412597656,112.9000015258789,129.6514434814453,151.22044372558594,224.06333923339844
107.72264099121094,142.33868408203125,112.52999877929688,130.7486114501953,151.18118286132812,232.48989868164062
109.51522827148438,137.7496795654297,106.9000015258789,128.9199981689453,142.91195678710938,226.85232543945312
114.11488342285156,141.76133728027344,113.79000091552734,129.84913635253906,146.40406799316406,235.75531005859375
117.04999542236328,143.09523010253906,116.36000061035156,132.58706665039062,154.23190307617188,236.7180633544922
114.75509643554688,143.20472717285156,115.06999969482422,132.21145629882812,152.42698669433594,234.71316528320312
114.38081359863281,142.7368621826172,115.25,132.5376434326172,151.4558563232422,234.3856201171875
120.3889389038086,146.59918212890625,119.31999969482422,135.2162628173828,156.154541015625,240.31103515625
120.53667449951172,148.7692413330078,119.81999969482422,137.7960662841797,158.734375,245.40269470214844
120.85186004638672,151.64608764648438,120.5999984741211,138.44842529296875,162.63848876953125,248.78721618652344
122.2406234741211,148.66970825195312,115.66000366210938,139.5060272216797,163.58998107910156,229.5917205810547
122.7232437133789,144.14044189453125,110.95999908447266,139.10076904296875,163.71749877929688,225.05584716796875
124.18094635009766,155.03062438964844,103.41000366210938,140.86016845703125,164.32569885253906,234.1077117919922
123.98395538330078,152.64154052734375,102.44000244140625,140.6822509765625,161.1180419921875,230.39566040039062
126.21976470947266,149.9637908935547,96.79000091552734,140.04966735839844,161.4515380859375,226.4652557373047
125.05754089355469,144.369384765625,92.12000274658203,139.12054443359375,157.145263671875,218.45555114746094
125.28407287597656,138.24740600585938,89.30000305175781,139.0908966064453,156.75289916992188,212.64926147460938
128.71165466308594,137.97817993164062,90.9800033569336,139.33799743652344,156.5861358642578,219.7359161376953
129.39126586914062,138.51661682128906,90.52999877929688,140.8008575439453,156.82156372070312,226.16749572753906
129.47006225585938,139.09494018554688,89.9800033569336,141.1369171142578,158.53817749023438,227.16001892089844
127.78582763671875,134.47837829589844,86.13999938964844,137.85536193847656,150.07275390625,222.8325958251953
133.04539489746094,146.4435272216797,96.62999725341797,140.71189880371094,161.2455596923828,241.1645965576172
133.26206970214844,149.2653045654297,100.79000091552734,140.92935180664062,170.0150909423828,245.2637481689453
131.8930206298828,147.8494415283203,98.48999786376953,136.78787231445312,169.95623779296875,239.7452850341797
130.9376220703125,149.6043243408203,98.94000244140625,145.73309326171875,176.66839599609375,240.16213989257812
131.1149139404297,148.3579559326172,97.12000274658203,146.7808380126953,153.46205139160156,240.60008239746094
130.54364013671875,150.28236389160156,94.8499984741211,146.28660583496094,159.91758728027344,240.55030822753906
131.82406616210938,150.8507080078125,94.13999938964844,148.49078369140625,160.77635192871094,240.09246826171875
131.04595947265625,147.58021545410156,92.45999908447266,149.400146484375,155.97911071777344,240.91859436035156
133.0059814453125,149.74391174316406,93.19999694824219,149.93389892578125,155.82118225097656,243.88465881347656
134.42430114746094,150.63134765625,94.12999725341797,150.6554412841797,161.29949951171875,246.42274475097656
134.68038940429688,147.679931640625,93.41000366210938,151.2979278564453,161.2698974609375,246.33316040039062
132.32640075683594,143.80123901367188,93.94999694824219,151.73280334472656,163.2341766357422,240.62994384765625
134.5030975341797,140.7600860595703,92.41999816894531,151.19908142089844,164.2212677001953,239.20663452148438
136.0986785888672,147.60015869140625,96.54000091552734,150.6554412841797,164.9122314453125,253.94740295410156
134.1879119873047,147.8793487548828,95.5,151.59445190429688,162.89857482910156,253.49949645996094
133.12417602539062,147.38079833984375,94.12999725341797,151.44618225097656,162.03982543945312,253.8279571533203
129.39126586914062,146.20423889160156,91.01000213623047,149.8943634033203,152.92901611328125,249.03048706054688
129.6079559326172,142.4950408935547,88.25,148.15472412109375,153.04747009277344,243.97422790527344
