Date,JP Morgan,Apple,Amazon,Walmart,Target,Microsoft
2013-07-03,40.19068908691406,13.047761917114258,14.201499938964844,60.14698028564453,52.5289421081543,28.341060638427734
2013-07-05,41.11986541748047,12.94295883178711,14.293999671936035,60.50899887084961,53.1876335144043,28.507732391357422
2013-07-08,41.66061782836914,12.86946964263916,14.529500007629395,61.71580505371094,53.89177322387695,28.607725143432617
2013-07-09,41.80532455444336,13.095823287963867,14.576499938964844,61.973262786865234,54.33847427368164,28.62438201904297
2013-07-10,41.75962829589844,13.045591354370117,14.616499900817871,61.764095306396484,54.53530502319336,28.916059494018555
2013-07-11,41.99573516845703,13.248994827270508,14.982999801635742,62.456024169921875,54.94415283203125,29.741025924682617
2013-07-12,41.86626434326172,13.224813461303711,15.3774995803833,62.456024169921875,54.93656921386719,29.724361419677734
2013-07-15,41.80532455444336,13.253647804260254,15.328499794006348,61.973262786865234,54.777584075927734,30.141019821166992
2013-07-16,41.896732330322266,13.339227676391602,15.343500137329102,62.246795654296875,54.56559753417969,30.224365234375
2013-07-17,42.09474182128906,13.342638969421387,15.434499740600586,62.11004638671875,54.97444534301758,29.782705307006836
2013-07-18,42.93252182006836,13.38759708404541,15.205499649047852,62.22267150878906,54.830589294433594,29.532705307006836
2013-07-19,42.772586822509766,13.176440238952637,15.261500358581543,62.818031311035156,54.929012298583984,26.166107177734375
2013-07-22,43.077232360839844,13.218609809875488,15.173999786376953,62.649070739746094,55.29243850708008,26.674434661865234
2013-07-23,43.1610107421875,12.9916410446167,15.053000450134277,63.1961669921875,55.459007263183594,26.51610565185547
2013-07-24,43.13054656982422,13.65891170501709,14.946999549865723,62.9387092590332,55.51200866699219,26.632770538330078
2013-07-25,43.03153991699219,13.59658432006836,15.170000076293945,62.76170349121094,54.376319885253906,26.15777587890625
2013-07-26,42.68879318237305,13.673792839050293,15.600500106811523,62.7536735534668,54.103755950927734,26.349441528320312
2013-07-29,42.41462707519531,13.884644508361816,15.305000305175781,62.74563980102539,54.141624450683594,26.28277587890625
2013-07-30,42.140445709228516,14.056110382080078,15.120499610900879,62.66517639160156,54.073482513427734,26.541101455688477
2013-07-31,42.4450798034668,14.031614303588867,15.060999870300293,62.705406188964844,53.944759368896484,26.532766342163086
2013-08-01,43.0620002746582,14.160292625427246,15.278499603271484,62.93067169189453,54.19460678100586,26.391103744506836
2013-08-02,43.0239143371582,14.34199333190918,15.21049976348877,63.357051849365234,54.134037017822266,26.574432373046875
2013-08-05,42.72687911987305,14.55625057220459,15.049500465393066,63.3731689453125,54.50503158569336,26.416099548339844
2013-08-06,42.262306213378906,14.426021575927734,15.037500381469727,62.649070739746094,54.353599548339844,26.31610679626465
2013-08-07,42.117584228515625,14.41765308380127,14.845499992370605,62.62480163574219,54.27032470703125,26.71610450744629
2013-08-08,41.75962829589844,14.388938903808594,14.786999702453613,62.527679443359375,53.92203903198242,27.407758712768555
2013-08-09,41.523529052734375,14.184189796447754,14.86299991607666,62.24436950683594,53.543479919433594,27.249425888061523
2013-08-12,41.196022033691406,14.587132453918457,14.834500312805176,62.39006042480469,53.57378005981445,27.391080856323242
2013-08-13,41.34836196899414,15.280343055725098,14.69849967956543,62.21199035644531,53.89933776855469,27.047021865844727
2013-08-14,41.241729736328125,15.559062957763672,14.567000389099121,61.83966064453125,53.02865219116211,27.147716522216797
2013-08-15,40.58674240112305,15.540650367736816,14.32349967956543,60.22893142700195,52.30181121826172,26.677776336669922
2013-08-16,40.58674240112305,15.678606986999512,14.241000175476074,59.98606491088867,51.923255920410156,26.68616485595703
2013-08-19,39.47476577758789,15.84746265411377,14.278499603271484,59.55710220336914,51.9918327331543,26.34209632873535
2013-08-20,39.69563674926758,15.639280319213867,14.354499816894531,59.273807525634766,51.77088165283203,26.535112380981445
2013-08-21,39.322444915771484,15.67954158782959,14.228500366210938,59.5328254699707,49.90422821044922,26.526729583740234
2013-08-22,39.764183044433594,15.698270797729492,14.486499786376953,59.459957122802734,48.94423294067383,27.181285858154297
2013-08-23,39.847957611083984,15.637717247009277,14.500499725341797,59.44375991821289,49.028045654296875,29.161766052246094
2013-08-26,39.451927185058594,15.698583602905273,14.310500144958496,59.11190414428711,48.86042785644531,28.65825080871582
